loan_id,boarding_date,charge_off_date,net_call_off,original_amount_financed
146,7/1/2016,,,108387
147,7/1/2016,,,81649
148,7/6/2016,,,99267
149,7/8/2016,,,116148
150,7/12/2016,,,76039
151,7/12/2016,,,27486
152,7/15/2016,,,138267
153,7/21/2016,,,85392
154,7/22/2016,,,89678
155,7/22/2016,,,99384
156,7/25/2016,,,32948
157,7/25/2016,,,17155
158,7/26/2016,8/31/2019,,67362
159,7/27/2016,,,102938
160,7/27/2016,,,145907
161,7/27/2016,,,111903
162,7/29/2016,,,70599
163,8/1/2016,,,22357
164,8/1/2016,,,124864
165,8/3/2016,,,148833
166,8/3/2016,,,86318
167,8/3/2016,,,135858
168,8/4/2016,,,93658
169,8/10/2016,,,49474
170,8/11/2016,,,64747
171,8/11/2016,,,25848
172,8/15/2016,,,126662
173,8/15/2016,,,70619
174,8/16/2016,,,107363
175,8/18/2016,,,81080
176,8/19/2016,,,78607
177,8/19/2016,,,114960
178,8/24/2016,,,69524
179,8/24/2016,,,114532
180,8/24/2016,,,74296
181,8/26/2016,,,59674
182,8/26/2016,,,21511
183,8/29/2016,,,42116
184,8/31/2016,,,82513
185,8/31/2016,,,146034
186,8/31/2016,,,76093
187,9/1/2016,,,51181
188,9/2/2016,,,45519
189,9/2/2016,,,97091
190,9/6/2016,,,131978
191,9/7/2016,,,14284
192,9/7/2016,,,23712
193,9/9/2016,,,126197
194,9/13/2016,,,135179
195,9/19/2016,,,42689
196,9/19/2016,,,39827
197,9/22/2016,,,9227
198,9/22/2016,,,120666
199,9/26/2016,,,51242
200,9/26/2016,,,92636
201,9/29/2016,,,147728
202,9/29/2016,,,145853
203,10/3/2016,,,85906
204,10/5/2016,,,63167
205,10/5/2016,,,30983
206,10/5/2016,,,14965
207,10/6/2016,,,91755
208,10/11/2016,,,74482
209,10/12/2016,,,3055
210,10/12/2016,,,137346
211,10/13/2016,,,144690
212,10/17/2016,,,39873
213,10/18/2016,10/28/2019,43344,54458
214,10/21/2016,,,68997
215,10/26/2016,,,97875
216,10/26/2016,,,140070
217,10/26/2016,,,10180
218,10/26/2016,,,10736
219,10/27/2016,,,19557
220,10/27/2016,,,60989
221,10/28/2016,,,112768
222,10/28/2016,,,144931
223,10/28/2016,,,119913
224,10/31/2016,9/26/2019,7251,16773
225,10/31/2016,,,25869
226,11/4/2016,5/24/2017,72401,101299
227,11/15/2016,,,128879
228,11/16/2016,,,145808
229,11/16/2016,,,30430
230,11/16/2016,,,130234
231,11/17/2016,,,52611
232,11/18/2016,,,140125
233,11/21/2016,,,144485
234,11/22/2016,,,117450
235,11/23/2016,,,21283
236,11/23/2016,1/31/2020,,70860
237,11/29/2016,,,17139
238,12/1/2016,2/15/2024,114867,144397
239,12/1/2016,,,33803
240,12/6/2016,,,34948
241,12/7/2016,,,7324
242,12/9/2016,,,102686
243,12/12/2016,,,36587
244,12/12/2016,,,66900
245,12/15/2016,,,95660
246,12/16/2016,,,121175
247,12/19/2016,,,68269
248,12/22/2016,,,116186
249,12/23/2016,,,121521
250,12/29/2016,11/1/2022,95773,113262
251,1/5/2017,,,112647
252,1/6/2017,,,144824
253,1/17/2017,,,77765
254,1/27/2017,,,130430
255,1/31/2017,,,30711
256,2/2/2017,,,84101
257,2/3/2017,7/5/2018,63221,121674
258,2/3/2017,,,119880
259,2/3/2017,,,124666
260,2/7/2017,,,3554
261,2/8/2017,,,89462
262,2/9/2017,,,84072
263,2/17/2017,7/7/2017,107341,114064
264,2/17/2017,,,103515
265,2/22/2017,,,139894
266,2/27/2017,,,86536
267,2/28/2017,,,60584
268,2/28/2017,,,25954
269,3/2/2017,,,43406
270,3/3/2017,,,109330
271,3/3/2017,,,142440
272,3/3/2017,,,28657
273,3/7/2017,,,111413
274,3/7/2017,,,67739
275,3/9/2017,,,31624
276,3/10/2017,,,38061
277,3/13/2017,,,78977
278,3/13/2017,,,88160
279,3/13/2017,,,4798
280,3/20/2017,,,30043
281,3/20/2017,,,119571
282,3/22/2017,,,24438
283,3/22/2017,,,135251
284,3/22/2017,,,93716
285,3/24/2017,1/31/2022,,53750
286,3/24/2017,,,82769
287,3/27/2017,,,24507
288,3/28/2017,,,141587
289,3/28/2017,,,146046
290,3/29/2017,,,60822
291,3/30/2017,,,131077
292,3/31/2017,,,87556
293,4/3/2017,,,112214
294,4/3/2017,,,116715
295,4/4/2017,,,22990
296,4/4/2017,,,31108
297,4/4/2017,,,8604
298,4/5/2017,,,45016
299,4/6/2017,,,10029
300,4/10/2017,,,41855
301,4/10/2017,,,116555
302,4/13/2017,,,3113
303,4/13/2017,,,56271
304,4/13/2017,,,122132
305,4/14/2017,,,77168
306,4/18/2017,,,80249
307,4/21/2017,,,77241
308,4/24/2017,,,3611
309,4/24/2017,,,31551
310,4/27/2017,,,79360
311,4/27/2017,,,42159
312,4/27/2017,,,110766
313,4/28/2017,,,49487
314,5/1/2017,,,115617
315,5/1/2017,,,87105
316,5/3/2017,,,125990
317,5/3/2017,,,9478
318,5/3/2017,,,23155
319,5/3/2017,,,100215
320,5/4/2017,,,129234
321,5/5/2017,,,11578
322,5/8/2017,,,89444
323,5/8/2017,,,17582
324,5/8/2017,,,109564
325,5/9/2017,,,11849
326,5/9/2017,,,143191
327,5/9/2017,,,71539
328,5/10/2017,,,11760
329,5/10/2017,,,14694
330,5/10/2017,,,53558
331,5/12/2017,,,108728
332,5/15/2017,6/10/2017,10579,82641
333,5/18/2017,,,40557
334,5/19/2017,9/30/2019,,28449
335,5/22/2017,,,114903
336,5/22/2017,,,99179
337,5/23/2017,,,59324
338,5/24/2017,,,14418
339,5/24/2017,,,54034
340,5/24/2017,,,94147
341,5/26/2017,,,83511
342,5/26/2017,,,109553
343,5/30/2017,,,79867
344,5/30/2017,,,100537
345,5/30/2017,,,20073
346,5/30/2017,,,99297
347,5/30/2017,,,149986
348,6/2/2017,,,101198
349,6/2/2017,,,130366
350,6/5/2017,,,39806
351,6/5/2017,,,4144
352,6/6/2017,,,31660
353,6/6/2017,,,48326
354,6/7/2017,,,45250
355,6/7/2017,,,79664
356,6/8/2017,,,79507
357,6/12/2017,,,83010
358,6/14/2017,,,122520
359,6/14/2017,,,137284
360,6/14/2017,,,47550
361,6/14/2017,,,37476
362,6/15/2017,,,66757
363,6/15/2017,,,110635
364,6/20/2017,,,84760
365,6/20/2017,,,95051
366,6/20/2017,,,123940
367,6/22/2017,5/24/2024,1048,112983
368,6/22/2017,,,31476
369,6/23/2017,,,136470
370,6/23/2017,,,78209
371,6/23/2017,,,126467
372,6/29/2017,,,130126
373,6/29/2017,,,22764
374,6/29/2017,,,35063
375,6/29/2017,,,92447
376,6/29/2017,,,90023
377,6/29/2017,,,130042
378,6/30/2017,,,114928
379,6/30/2017,,,99433
380,6/30/2017,,,127161
381,7/3/2017,,,110425
382,7/5/2017,,,89194
383,7/6/2017,,,98431
384,7/6/2017,,,143957
385,7/6/2017,3/31/2019,,82505
386,7/7/2017,,,66625
387,7/10/2017,,,6257
388,7/10/2017,,,125175
389,7/10/2017,,,25278
390,7/10/2017,,,10094
391,7/10/2017,,,84326
392,7/10/2017,,,78404
393,7/11/2017,,,5757
394,7/11/2017,,,41483
395,7/11/2017,,,144283
396,7/18/2017,,,99089
397,7/18/2017,,,17650
398,7/18/2017,,,49671
399,7/19/2017,8/21/2024,31910,45856
400,7/19/2017,,,138741
401,7/20/2017,,,99804
402,7/20/2017,,,22509
403,7/21/2017,11/27/2021,22962,92888
404,7/21/2017,,,44563
405,7/21/2017,,,35845
406,7/24/2017,,,76442
407,7/24/2017,,,113765
408,7/26/2017,,,134052
409,7/26/2017,,,88195
410,7/27/2017,,,99368
411,7/27/2017,12/31/2018,,88777
412,7/27/2017,,,93367
413,7/27/2017,,,3659
414,7/27/2017,,,136892
415,7/28/2017,9/17/2023,9500,13846
416,7/28/2017,8/3/2021,15736,88804
417,7/28/2017,,,132230
418,7/28/2017,,,101489
419,7/31/2017,,,118370
420,7/31/2017,,,4460
421,8/2/2017,,,127085
422,8/2/2017,,,111147
423,8/2/2017,6/30/2021,,123400
424,8/3/2017,11/11/2021,51856,112755
425,8/3/2017,,,117982
426,8/3/2017,,,41622
427,8/4/2017,10/30/2021,119402,145341
428,8/4/2017,,,135965
429,8/8/2017,5/18/2021,15627,26534
430,8/8/2017,,,127665
431,8/8/2017,,,79681
432,8/10/2017,,,91428
433,8/10/2017,,,105553
434,8/10/2017,,,10841
435,8/15/2017,,,52422
436,8/15/2017,,,138937
437,8/15/2017,,,34274
438,8/17/2017,,,72326
439,8/18/2017,,,149339
440,8/21/2017,,,85919
441,8/22/2017,4/2/2023,100481,106552
442,8/24/2017,,,9293
443,8/25/2017,,,26486
444,8/25/2017,,,23243
445,8/28/2017,,,14665
446,8/28/2017,,,24618
447,8/28/2017,,,139968
448,8/28/2017,,,66502
449,8/31/2017,,,140697
450,9/1/2017,,,119145
451,9/1/2017,,,25117
452,9/1/2017,,,47792
453,9/6/2017,,,44701
454,9/18/2017,,,87665
455,9/18/2017,,,89884
456,9/19/2017,,,3128
457,9/19/2017,,,77107
458,9/22/2017,,,66613
459,10/2/2017,,,61101
460,10/2/2017,,,13631
461,10/2/2017,,,134174
462,10/3/2017,,,103812
463,10/4/2017,,,86955
464,10/10/2017,,,143625
465,10/10/2017,,,77539
466,10/10/2017,,,149524
467,10/12/2017,5/9/2022,19871,133608
468,10/12/2017,,,58930
469,10/12/2017,,,65351
470,10/16/2017,6/6/2022,16542,59553
471,10/17/2017,,,32510
472,10/18/2017,,,75475
473,10/19/2017,,,53572
474,10/23/2017,,,139294
475,10/25/2017,,,149484
476,10/25/2017,,,77699
477,10/25/2017,,,147846
478,10/26/2017,,,128397
479,10/26/2017,,,130177
480,10/30/2017,,,125277
481,11/2/2017,,,22178
482,11/2/2017,,,129713
483,11/2/2017,,,133996
484,11/3/2017,,,43673
485,11/9/2017,,,100362
486,11/10/2017,,,52824
487,11/10/2017,,,144079
488,11/10/2017,,,28931
489,11/13/2017,,,14030
490,11/13/2017,,,114290
491,11/14/2017,,,54054
492,11/14/2017,,,46682
493,11/15/2017,11/11/2022,33997,94172
494,11/15/2017,,,141168
495,11/15/2017,,,25859
496,11/16/2017,,,138901
497,11/21/2017,,,59126
498,11/22/2017,,,44996
499,11/22/2017,,,115449
500,11/29/2017,,,48310
501,11/30/2017,,,61517
502,12/1/2017,,,108213
503,12/5/2017,,,38206
504,12/5/2017,,,140237
505,12/7/2017,,,3336
506,12/7/2017,,,121453
507,12/8/2017,,,18425
508,12/8/2017,,,111989
509,12/11/2017,,,78624
510,12/19/2017,,,141358
511,12/22/2017,,,144379
512,12/22/2017,,,117462
513,12/22/2017,,,52420
514,1/8/2018,,,35159
515,1/9/2018,,,57616
516,1/15/2018,,,44215
517,1/16/2018,,,115504
518,1/16/2018,,,63764
519,1/19/2018,,,58153
520,1/19/2018,,,37891
521,1/22/2018,,,25329
522,1/22/2018,,,121120
523,1/24/2018,,,35446
524,1/26/2018,5/9/2024,81197,107570
525,1/29/2018,,,66271
526,1/31/2018,,,3803
527,2/1/2018,,,125390
528,2/1/2018,,,134813
529,2/2/2018,,,139966
530,2/2/2018,,,27213
531,2/5/2018,,,109508
532,2/6/2018,,,9022
533,2/8/2018,,,118309
534,2/13/2018,,,43019
535,2/13/2018,,,81807
536,2/14/2018,,,125756
537,2/15/2018,,,133117
538,2/16/2018,,,15347
539,2/16/2018,,,98571
540,2/16/2018,,,16674
541,2/21/2018,4/13/2024,60454,62692
542,2/21/2018,,,82991
543,2/21/2018,,,37430
544,2/23/2018,,,119532
545,2/27/2018,,,89714
546,2/28/2018,,,103407
547,2/28/2018,,,41256
548,2/28/2018,,,87418
549,2/28/2018,,,29998
550,2/28/2018,,,137822
551,2/28/2018,,,61820
552,3/5/2018,12/18/2023,38245,59034
553,3/5/2018,,,113352
554,3/6/2018,,,85586
555,3/6/2018,,,110322
556,3/6/2018,,,65646
557,3/7/2018,,,29034
558,3/7/2018,8/31/2019,,136135
559,3/8/2018,,,141447
560,3/8/2018,,,125129
561,3/8/2018,,,74297
562,3/12/2018,,,28306
563,3/13/2018,,,97259
564,3/14/2018,,,59686
565,3/14/2018,,,143064
566,3/15/2018,,,88567
567,3/16/2018,,,50313
568,3/20/2018,,,124487
569,3/20/2018,,,69096
570,3/20/2018,,,28164
571,3/22/2018,,,112272
572,3/22/2018,,,93954
573,3/22/2018,,,113277
574,3/23/2018,,,140803
575,3/26/2018,,,96562
576,3/26/2018,,,92392
577,3/26/2018,,,73131
578,3/27/2018,,,98150
579,3/29/2018,11/9/2019,2183,9875
580,3/29/2018,,,7420
581,3/29/2018,,,10591
582,3/29/2018,,,134876
583,3/29/2018,,,26197
584,3/29/2018,,,96799
585,4/4/2018,,,41322
586,4/4/2018,,,67788
587,4/4/2018,,,47601
588,4/4/2018,,,36929
589,4/4/2018,,,134467
590,4/4/2018,,,71262
591,4/4/2018,,,83932
592,4/5/2018,,,80400
593,4/5/2018,,,24714
594,4/6/2018,,,82794
595,4/10/2018,,,88626
596,4/10/2018,,,75836
597,4/10/2018,,,11781
598,4/10/2018,,,49621
599,4/11/2018,,,125004
600,4/12/2018,,,113514
601,4/12/2018,,,22144
602,4/12/2018,,,21996
603,4/16/2018,,,13500
604,4/16/2018,,,120072
605,4/16/2018,,,6298
606,4/16/2018,,,41044
607,4/16/2018,,,17939
608,4/16/2018,,,139129
609,4/16/2018,,,129846
610,4/17/2018,,,35339
611,4/17/2018,,,147029
612,4/17/2018,,,11839
613,4/17/2018,,,50520
614,4/17/2018,,,35872
615,4/19/2018,5/27/2019,2049,26929
616,4/19/2018,,,119504
617,4/19/2018,,,54502
618,4/19/2018,,,141538
619,4/20/2018,,,135316
620,4/20/2018,,,115307
621,4/20/2018,,,43539
622,4/23/2018,,,32744
623,4/23/2018,,,96192
624,4/23/2018,,,141440
625,4/25/2018,,,139193
626,4/25/2018,,,89109
627,4/25/2018,,,52007
628,4/25/2018,,,118068
629,4/26/2018,,,90628
630,4/26/2018,,,19126
631,4/30/2018,,,68589
632,4/30/2018,,,127066
633,4/30/2018,,,6630
634,4/30/2018,,,104446
635,5/1/2018,1/16/2020,75630,94969
636,5/1/2018,,,8386
637,5/1/2018,,,51821
638,5/2/2018,,,55329
639,5/2/2018,,,42908
640,5/2/2018,,,100615
641,5/4/2018,,,99709
642,5/4/2018,,,142468
643,5/7/2018,,,96671
644,5/10/2018,,,33694
645,5/10/2018,,,86132
646,5/10/2018,,,131453
647,5/10/2018,,,86894
648,5/11/2018,9/9/2019,66762,129028
649,5/11/2018,,,133948
650,5/11/2018,,,49829
651,5/11/2018,,,42326
652,5/11/2018,,,123678
653,5/15/2018,,,127187
654,5/15/2018,,,129205
655,5/15/2018,,,64104
656,5/16/2018,3/27/2020,76569,80658
657,5/16/2018,,,22121
658,5/16/2018,,,23968
659,5/16/2018,,,85812
660,5/17/2018,3/7/2020,3756,12811
661,5/17/2018,,,140589
662,5/17/2018,,,14329
663,5/18/2018,,,66803
664,5/18/2018,,,129456
665,5/18/2018,,,48447
666,5/21/2018,,,63223
667,5/21/2018,,,100427
668,5/22/2018,3/6/2023,4843,45162
669,5/22/2018,,,30706
670,5/22/2018,,,33204
671,5/24/2018,,,38826
672,5/24/2018,,,93602
673,5/24/2018,,,23559
674,5/24/2018,,,145452
675,5/24/2018,,,109619
676,5/24/2018,,,37093
677,5/24/2018,,,22727
678,5/25/2018,,,15032
679,5/29/2018,,,53410
680,5/29/2018,,,52153
681,5/29/2018,,,15148
682,5/31/2018,,,84690
683,5/31/2018,,,140229
684,5/31/2018,,,90873
685,5/31/2018,,,63391
686,5/31/2018,,,6638
687,5/31/2018,,,70201
688,5/31/2018,,,124456
689,6/4/2018,,,126240
690,6/4/2018,,,72944
691,6/4/2018,,,107894
692,6/4/2018,,,95529
693,6/4/2018,3/31/2021,,133367
694,6/4/2018,,,29250
695,6/6/2018,,,83274
696,6/8/2018,,,29859
697,6/8/2018,,,24601
698,6/8/2018,,,145780
699,6/8/2018,,,67499
700,6/8/2018,,,69002
701,6/8/2018,,,6018
702,6/11/2018,,,27129
703,6/11/2018,,,71288
704,6/11/2018,,,77138
705,6/11/2018,,,121085
706,6/12/2018,,,46707
707,6/12/2018,,,89925
708,6/12/2018,,,15051
709,6/12/2018,,,25002
710,6/12/2018,,,18037
711,6/12/2018,,,34933
712,6/12/2018,,,82233
713,6/13/2018,,,83563
714,6/13/2018,,,116073
715,6/13/2018,,,46651
716,6/13/2018,,,40891
717,6/13/2018,,,78321
718,6/14/2018,2/14/2021,62558,112580
719,6/14/2018,,,94262
720,6/14/2018,,,138110
721,6/14/2018,,,37414
722,6/18/2018,,,125063
723,6/18/2018,,,149722
724,6/18/2018,1/31/2020,,27221
725,6/25/2018,3/21/2019,6965,17531
726,6/25/2018,11/3/2022,3995,48328
727,6/25/2018,,,142628
728,6/25/2018,,,69242
729,6/25/2018,,,86883
730,6/25/2018,,,106521
731,6/25/2018,,,36037
732,6/25/2018,,,26330
733,6/25/2018,,,32820
734,6/25/2018,,,138942
735,6/25/2018,,,21481
736,6/25/2018,,,135641
737,6/25/2018,,,37235
738,6/25/2018,,,132884
739,6/25/2018,,,137510
740,6/25/2018,,,123539
741,6/25/2018,,,104948
742,6/25/2018,,,123459
743,6/25/2018,,,79403
744,6/25/2018,,,43868
745,6/25/2018,,,52142
746,6/25/2018,,,65427
747,6/26/2018,,,146225
748,6/26/2018,,,90956
749,6/26/2018,6/30/2020,,129945
750,6/27/2018,,,145100
751,6/28/2018,,,4586
752,6/28/2018,,,86395
753,6/28/2018,,,55486
754,6/28/2018,,,104073
755,6/29/2018,6/23/2024,6482,8501
756,6/29/2018,,,24873
757,6/29/2018,,,68475
758,6/29/2018,,,100693
759,7/3/2018,,,17815
760,7/3/2018,,,39591
761,7/3/2018,,,101275
762,7/3/2018,,,77415
763,7/3/2018,,,132766
764,7/3/2018,,,95144
765,7/3/2018,,,84799
766,7/3/2018,,,117462
767,7/3/2018,,,11210
768,7/3/2018,,,111105
769,7/3/2018,,,36263
770,7/3/2018,,,31951
771,7/6/2018,10/15/2018,21984,24035
772,7/6/2018,,,98558
773,7/6/2018,,,103522
774,7/6/2018,,,53644
775,7/6/2018,,,6099
776,7/6/2018,,,109554
777,7/9/2018,1/15/2020,6292,22233
778,7/9/2018,,,64329
779,7/9/2018,,,100665
780,7/9/2018,,,49100
781,7/9/2018,3/31/2020,,62719
782,7/10/2018,4/22/2023,33854,50579
783,7/10/2018,,,108364
784,7/10/2018,,,105188
785,7/11/2018,7/13/2024,116776,144709
786,7/11/2018,2/7/2019,6039,86833
787,7/11/2018,,,73625
788,7/11/2018,,,36797
789,7/11/2018,,,62168
790,7/11/2018,,,112578
791,7/11/2018,,,79841
792,7/12/2018,,,106478
793,7/12/2018,,,27658
794,7/12/2018,,,76925
795,7/16/2018,,,4645
796,7/16/2018,,,43057
797,7/16/2018,8/31/2022,,3285
798,7/17/2018,,,89573
799,7/17/2018,,,89642
800,7/17/2018,,,30951
801,7/17/2018,,,50574
802,7/17/2018,,,33481
803,7/17/2018,,,12006
804,7/17/2018,,,77910
805,7/17/2018,,,66871
806,7/18/2018,,,96695
807,7/18/2018,,,36386
808,7/19/2018,,,54941
809,7/19/2018,,,133303
810,7/19/2018,,,69194
811,7/19/2018,,,128731
812,7/20/2018,6/22/2019,76240,122723
813,7/20/2018,,,67429
814,7/20/2018,,,119729
815,7/20/2018,,,131113
816,7/23/2018,,,4949
817,7/23/2018,,,18925
818,7/23/2018,,,42647
819,7/23/2018,,,21444
820,7/23/2018,,,78772
821,7/23/2018,,,125337
822,7/23/2018,,,55138
823,7/24/2018,,,31225
824,7/24/2018,,,67175
825,7/24/2018,,,31313
826,7/24/2018,,,108976
827,7/25/2018,,,140504
828,7/25/2018,,,122248
829,7/26/2018,,,140611
830,7/26/2018,,,119566
831,7/26/2018,,,137053
832,7/30/2018,1/31/2024,45148,55141
833,7/30/2018,,,59418
834,7/30/2018,,,75499
835,7/31/2018,,,72782
836,7/31/2018,,,144676
837,7/31/2018,,,13840
838,7/31/2018,,,17388
839,7/31/2018,,,31024
840,7/31/2018,,,14190
841,7/31/2018,,,47301
842,7/31/2018,,,144323
843,8/1/2018,,,137579
844,8/2/2018,,,146571
845,8/3/2018,,,63756
846,8/3/2018,,,59166
847,8/3/2018,,,60965
848,8/3/2018,,,24298
849,8/3/2018,,,128628
850,8/6/2018,,,20859
851,8/6/2018,,,141957
852,8/6/2018,,,58424
853,8/6/2018,,,145992
854,8/7/2018,4/22/2020,117220,136555
855,8/7/2018,,,94600
856,8/7/2018,,,114165
857,8/7/2018,,,48262
858,8/8/2018,,,145295
859,8/8/2018,,,109204
860,8/8/2018,,,69336
861,8/8/2018,,,135032
862,8/10/2018,,,91996
863,8/13/2018,,,54603
864,8/13/2018,,,31841
865,8/13/2018,,,65145
866,8/14/2018,,,9548
867,8/14/2018,,,54595
868,8/14/2018,,,82330
869,8/15/2018,4/6/2019,1218,11792
870,8/15/2018,,,117209
871,8/15/2018,,,121994
872,8/15/2018,,,82537
873,8/15/2018,,,24652
874,8/15/2018,,,7610
875,8/17/2018,,,91317
876,8/17/2018,,,41556
877,8/17/2018,,,67292
878,8/17/2018,,,40549
879,8/17/2018,,,84190
880,8/20/2018,,,92309
881,8/20/2018,,,106875
882,8/24/2018,,,84527
883,8/24/2018,,,3110
884,8/24/2018,,,11618
885,8/27/2018,,,26246
886,8/27/2018,,,81186
887,8/27/2018,,,10700
888,8/27/2018,,,37081
889,8/28/2018,,,15550
890,8/29/2018,7/15/2023,83481,119434
891,8/29/2018,,,12060
892,8/29/2018,,,135129
893,8/29/2018,,,32182
894,8/30/2018,3/21/2019,19592,75295
895,8/30/2018,,,92223
896,8/30/2018,,,9830
897,8/30/2018,,,148903
898,8/31/2018,11/22/2021,21726,22972
899,8/31/2018,,,144063
900,8/31/2018,,,42967
901,9/4/2018,,,60206
902,9/4/2018,,,9021
903,9/4/2018,,,30106
904,9/4/2018,,,127965
905,9/6/2018,,,91610
906,9/6/2018,,,31796
907,9/7/2018,,,133638
908,9/7/2018,,,120868
909,9/7/2018,,,125072
910,9/7/2018,,,48162
911,9/10/2018,,,145904
912,9/10/2018,,,97792
913,9/10/2018,,,65020
914,9/10/2018,,,69311
915,9/10/2018,,,101146
916,9/10/2018,,,48598
917,9/10/2018,,,34749
918,9/12/2018,,,131567
919,9/12/2018,,,48478
920,9/13/2018,,,31177
921,9/13/2018,,,31592
922,9/13/2018,,,24437
923,9/14/2018,,,29538
924,9/19/2018,,,25842
925,9/19/2018,,,99855
926,9/20/2018,,,110174
927,9/24/2018,9/28/2020,2273,5693
928,9/24/2018,,,67891
929,9/24/2018,,,101868
930,9/24/2018,,,31216
931,9/24/2018,,,127424
932,9/26/2018,,,22156
933,9/26/2018,,,64400
934,9/26/2018,,,24524
935,9/27/2018,9/30/2018,20185,90713
936,9/27/2018,,,95227
937,9/27/2018,,,74193
938,9/27/2018,,,72817
939,9/27/2018,,,4342
940,9/27/2018,,,50681
941,9/28/2018,,,29152
942,9/28/2018,,,147475
943,9/28/2018,,,136377
944,9/28/2018,,,40383
945,10/1/2018,,,29359
946,10/1/2018,,,9530
947,10/3/2018,,,114231
948,10/3/2018,,,30632
949,10/3/2018,,,73132
950,10/4/2018,,,138103
951,10/4/2018,,,41373
952,10/5/2018,,,147351
953,10/8/2018,,,131724
954,10/8/2018,,,116965
955,10/9/2018,,,117986
956,10/12/2018,,,68176
957,10/12/2018,,,17761
